"label","n","parent","id"
"Czech Republic",12,"total -  Game Show","total -  Game Show  -  Czech Republic"
"Czech Republic",2,"total -  History","total -  History  -  Czech Republic"
"Czech Republic",32,"total -  Horror","total -  Horror  -  Czech Republic"
"Czech Republic",2,"total -  Music","total -  Music  -  Czech Republic"
"Czech Republic",52,"total -  Mystery","total -  Mystery  -  Czech Republic"
"Czech Republic",27,"total -  Reality TV","total -  Reality TV  -  Czech Republic"
"Czech Republic",79,"total -  Romance","total -  Romance  -  Czech Republic"
"Czech Republic",11,"total -  Sci Fi","total -  Sci Fi  -  Czech Republic"
"Czech Republic",1,"total -  Short","total -  Short  -  Czech Republic"
"Czech Republic",12,"total -  Sport","total -  Sport  -  Czech Republic"
"Czech Republic",10,"total -  Talk Show","total -  Talk Show  -  Czech Republic"
"Czech Republic",50,"total -  Thriller","total -  Thriller  -  Czech Republic"
"Czech Republic",4,"total -  War","total -  War  -  Czech Republic"
"Denmark",189,"total -  Action","total -  Action  -  Denmark"
"Denmark",7,"total -  Adult","total -  Adult  -  Denmark"
